"Rank","Hotel Type","Month","Occupancy Rate (%)"
"1","Resort Hotel","August","90.57"
"2","Resort Hotel","July","87.70"
"3","Resort Hotel","September","61.09"
"4","Resort Hotel","June","60.39"
"5","Resort Hotel","May","57.68"
"6","Resort Hotel","April","53.56"
"7","Resort Hotel","October","52.46"
"8","Resort Hotel","March","51.30"
"9","Resort Hotel","February","41.64"
"10","Resort Hotel","November","38.53"
"11","Resort Hotel","December","33.47"
"12","Resort Hotel","January","27.09"
