"Rank","Hotel Type","Month","Occupancy Rate (%)"
"1","City Hotel","August","54.65"
"2","City Hotel","July","47.10"
"3","City Hotel","May","41.57"
"4","City Hotel","June","40.92"
"5","City Hotel","April","40.51"
"6","City Hotel","September","39.87"
"7","City Hotel","March","39.58"
"8","City Hotel","October","38.96"
"9","City Hotel","February","31.40"
"10","City Hotel","November","26.00"
"11","City Hotel","December","22.90"
"12","City Hotel","January","20.30"
