"Rank","Hotel Type","Month","Total Bookings"
"1","City Hotel","August","5381"
"2","City Hotel","July","4782"
"3","City Hotel","May","4579"
"4","City Hotel","June","4366"
"5","City Hotel","October","4337"
"6","City Hotel","September","4290"
"7","City Hotel","March","4072"
"8","City Hotel","April","4015"
"9","City Hotel","February","3064"
"10","City Hotel","November","2696"
"11","City Hotel","December","2392"
"12","City Hotel","January","2254"
