"Rank","Hotel Type","Month","Total Bookings"
"1","Resort Hotel","August","3257"
"2","Resort Hotel","July","3137"
"3","Resort Hotel","October","2577"
"4","Resort Hotel","March","2573"
"5","Resort Hotel","April","2550"
"6","Resort Hotel","May","2535"
"7","Resort Hotel","February","2308"
"8","Resort Hotel","September","2102"
"9","Resort Hotel","June","2038"
"10","Resort Hotel","December","2017"
"11","Resort Hotel","November","1976"
"12","Resort Hotel","January","1868"
