"Rank","Hotel Type","Month","Total Booked Room-Nights"
"1","City Hotel","August","16943"
"2","City Hotel","July","14600"
"3","City Hotel","May","12888"
"4","City Hotel","June","12275"
"5","City Hotel","March","12269"
"6","City Hotel","April","12154"
"7","City Hotel","October","12077"
"8","City Hotel","September","11962"
"9","City Hotel","February","8793"
"10","City Hotel","November","7799"
"11","City Hotel","December","7099"
"12","City Hotel","January","6294"
