"Rank","Hotel Type","Month","Total Booked Room-Nights"
"1","Resort Hotel","August","16846"
"2","Resort Hotel","July","16312"
"3","Resort Hotel","September","10996"
"4","Resort Hotel","June","10871"
"5","Resort Hotel","May","10728"
"6","Resort Hotel","October","9757"
"7","Resort Hotel","April","9641"
"8","Resort Hotel","March","9542"
"9","Resort Hotel","February","6995"
"10","Resort Hotel","November","6936"
"11","Resort Hotel","December","6225"
"12","Resort Hotel","January","5038"
